part_id,sku,name,category_id,supplier_id,unit_cost,reorder_point,safety_stock,lead_time_days,current_stock,stockout_flag,demand_pattern
PRT-0001,BOLT-0001-X,BOLT Component 1,CAT-005,SUP-002,727.09,66.86,30.17,2,141.64,0,regular
PRT-0002,NUT-0002-C,NUT Component 2,CAT-006,SUP-006,178.44,911.2,203.28,22,331.88,0,regular
PRT-0003,RES-0003-C,RES Component 3,CAT-009,SUP-004,139.27,150.71,55.46,7,268.68,0,regular
PRT-0004,CAP-0004-X,CAP Component 4,CAT-011,SUP-006,716.49,254.79,41.51,18,235.82,0,regular
PRT-0005,BRG-0005-Pro,BRG Component 5,CAT-002,SUP-004,776.2,99.6,32.74,6,222.58,0,regular
PRT-0006,SHAFT-0006-SS,SHAFT Component 6,CAT-003,SUP-005,119.07,77.13,52.59,27,67.51,0,intermittent
PRT-0007,VALVE-0007-Lite,VALVE Component 7,CAT-004,SUP-003,433.32,464.58,154.09,9,256.23,0,regular
PRT-0008,HOSE-0008-C,HOSE Component 8,CAT-011,SUP-007,507.13,521.32,134.72,21,738.69,0,regular
PRT-0009,GASKET-0009-V2,GASKET Component 9,CAT-001,SUP-002,579.6,14.06,9.39,5,6.19,0,intermittent
PRT-0010,PCB-0010-C,PCB Component 10,CAT-008,SUP-001,810.76,1303.23,296.03,23,1782.39,0,regular
PRT-0011,MTR-0011-B,MTR Component 11,CAT-011,SUP-005,715.49,21.39,15.52,26,17.31,0,intermittent
PRT-0012,SENS-0012-V2,SENS Component 12,CAT-001,SUP-006,415.54,81.14,59.89,19,101.22,0,intermittent
PRT-0013,BOLT-0013-Pro,BOLT Component 13,CAT-004,SUP-001,205.08,9.59,6.62,20,1.0,1,intermittent
PRT-0014,NUT-0014-V2,NUT Component 14,CAT-003,SUP-003,560.94,13.52,9.97,10,8.58,0,intermittent
PRT-0015,RES-0015-X,RES Component 15,CAT-009,SUP-004,606.14,469.96,156.42,7,567.54,0,regular
PRT-0016,CAP-0016-V2,CAP Component 16,CAT-008,SUP-002,211.06,2.97,2.09,2,1.03,1,intermittent
PRT-0017,BRG-0017-X,BRG Component 17,CAT-001,SUP-002,601.8,29.89,18.05,1,65.08,0,regular
PRT-0018,SHAFT-0018-B,SHAFT Component 18,CAT-009,SUP-004,237.03,118.43,28.73,8,278.51,0,regular
PRT-0019,VALVE-0019-XL,VALVE Component 19,CAT-010,SUP-008,206.89,1412.74,200.9,33,597.51,0,regular
PRT-0020,HOSE-0020-HD,HOSE Component 20,CAT-006,SUP-007,349.7,49.17,36.8,15,7.26,1,intermittent
