movement_id,part_id,date,movement_type,quantity,reference
MOV-000001,PRT-0001,2024-01-01,in,191.01,INIT-RECEIPT
MOV-000007,PRT-0001,2024-01-11,in,72.87,PO-9760
MOV-000011,PRT-0001,2024-02-07,out,10.7,SO-6371
MOV-000006,PRT-0001,2024-04-26,out,6.22,SO-2189
MOV-000012,PRT-0001,2024-05-13,out,8.69,SO-7297
MOV-000010,PRT-0001,2024-09-07,in,23.42,PO-4354
MOV-000003,PRT-0001,2024-09-12,in,67.57,PO-4258
MOV-000004,PRT-0001,2024-09-26,in,67.98,PO-6370
MOV-000005,PRT-0001,2024-10-19,in,101.61,PO-4794
MOV-000008,PRT-0001,2024-11-06,in,57.56,PO-4325
MOV-000009,PRT-0001,2024-12-03,in,86.69,PO-3455
MOV-000002,PRT-0001,2024-12-11,in,11.69,PO-5458
MOV-000013,PRT-0002,2024-01-01,in,474.84,INIT-RECEIPT
MOV-000015,PRT-0002,2024-01-20,in,87.4,PO-3875
MOV-000024,PRT-0002,2024-04-22,out,13.23,SO-4850
MOV-000023,PRT-0002,2024-05-01,in,38.85,PO-7400
MOV-000016,PRT-0002,2024-05-09,in,118.84,PO-7749
MOV-000021,PRT-0002,2024-05-09,in,69.2,PO-7891
MOV-000022,PRT-0002,2024-07-09,in,110.37,PO-7155
MOV-000017,PRT-0002,2024-08-19,in,92.67,PO-2037
